'fare_amount','Zone','Borough','avg_fare_borough','avg_fare_zone','avg_fare_overall'
49.359999999999999431,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
44.700000000000002843,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
28.609999999999999431,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
22.329999999999998294,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
22.109999999999999432,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
48.350000000000001422,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
34.5,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
18.199999999999999289,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
90.0,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
28.19999999999999929,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
28.109999999999999431,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
36.810000000000002273,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
45.500000000000000001,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
48.350000000000001422,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
19.339999999999999857,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
51.530000000000001137,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
26.55999999999999872,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
42.200000000000002843,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
30.199999999999999288,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
39.25,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
45.560000000000002275,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
56.200000000000002843,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
17.0,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
18.839999999999999857,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
18.109999999999999431,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
39.00999999999999801,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
38.070000000000000285,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
10.499999999999999999,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
10.400000000000000355,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
12.5,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
32.710000000000000852,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
38.200000000000002842,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
22.329999999999998294,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
25.449999999999999289,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
21.94999999999999929,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
49.130000000000002557,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
44.929999999999999716,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
33.520000000000003126,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
14.199999999999999289,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
34.799999999999997157,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
50.380000000000002557,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
13.999999999999999999,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
24.199999999999999289,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
26.199999999999999289,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
32.200000000000002843,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
31.5,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
9.1999999999999992894,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
9.0,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
18.109999999999999431,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
30.0,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
18.839999999999999857,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
16.199999999999999289,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
40.0,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
3.5,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
18.109999999999999431,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
23.489999999999998437,'Fresh Meadows','Queens',35.50455084760207569,33.335999999999984312,12.929082202356608988
